Ortschaftsname;PLZ;Gemeindename;Kantonskürzel
Aadorf;8355;Aadorf;TG
Aarau;5000;Aarau;AG
Aarau;5004;Aarau;AG
Aarau Rohr;5032;Aarau;AG
Aarberg;3270;Aarberg;BE
Aarburg;4663;Aarburg;AG
Aarwangen;4912;Aarwangen;BE
Aathal-Seegräben;8607;Seegräben;ZH
Aawangen;8522;Aadorf;TG
Abländschen;1657;Saanen;BE
Abtwil AG;5646;Abtwil;AG
Abtwil SG;9030;Gaiserwald;SG
Achseten;3725;Frutigen;BE
Aclens;1123;Aclens;VD
Acquarossa;6716;Acquarossa;TI
Adelboden;3715;Adelboden;BE
Adetswil;8345;Bäretswil;ZH
Adligenswil;6043;Adligenswil;LU
Adlikon b. Andelfingen;8452;Adlikon;ZH
Adlikon b. Regensdorf;8106;Regensdorf;ZH
Adliswil;8134;Adliswil;ZH
Aedermannsdorf;4714;Aedermannsdorf;SO
Aefligen;3426;Aefligen;BE
Aegerten;2558;Aegerten;BE
Aesch (Neftenbach);8412;Neftenbach;ZH
Aesch BL;4147;Aesch (BL);BL
Aesch LU;6287;Aesch (LU);LU
Aesch ZH;8904;Aesch (ZH);ZH
Aeschau;3536;Eggiwil;BE
Aeschi SO;4556;Aeschi (SO);SO
Aeschi b. Spiez;3703;Aeschi bei Spiez;BE
Aeschiried;3703;Aeschi bei Spiez;BE
Aeschlen b. Oberdiessbach;3672;Oberdiessbach;BE
Aeschlen ob Gunten;3656;Sigriswil;BE
Aetigkofen;4583;Buchegg;SO
Aetingen;4587;Buchegg;SO
Aettenschwil;5645;Sins;AG
Aeugst am Albis;8914;Aeugst am Albis;ZH
Aeugstertal;8914;Aeugst am Albis;ZH
Affeltrangen;9556;Affeltrangen;TG
Affoltern am Albis;8910;Affoltern am Albis;ZH
Affoltern im Emmental;3416;Affoltern im Emmental;BE
Agarn;3951;Agarn;VS
Agarone;6597;Cugnasco-Gerra;TI
Agasul;8308;Illnau-Effretikon;ZH
Agiez;1352;Agiez;VD
Agno;6982;Agno;TI
Agra;6927;Collina d'Oro;TI
Agriswil;3216;Ried bei Kerzers;FR
Aigle;1860;Aigle;VD
Aire-la-Ville;1288;Aire-la-Ville;GE
Airolo;6780;Airolo;TI
Alberswil;6248;Alberswil;LU
Albeuve;1669;Haut-Intyamon;FR
Albinen;3955;Albinen;VS
Albligen;3183;Schwarzenburg;BE
Alchenflüh;3422;Rüdtligen-Alchenflüh;BE
Alchenstorf;3473;Alchenstorf;BE
Aldesago;6974;Lugano;TI
Algetshausen;9249;Uzwil;SG
Alikon;5643;Sins;AG
Allaman;1165;Allaman;VD
Alle;2942;Alle;JU
Allens;1304;Cossonay;VD
Allenwinden;6319;Baar;ZG
Allerheiligenberg;4615;Hägendorf;SO
Allmendingen b. Bern;3112;Allmendingen;BE
Allschwil;4123;Allschwil;BL
Almens;7416;Domleschg;GR
Alosen;6315;Oberägeri;ZG
Alp Grüm;7710;Poschiavo;GR
Alpnach Dorf;6055;Alpnach;OW
Alpnachstad;6053;Alpnach;OW
Alpthal;8849;Alpthal;SZ
Alt St. Johann;9656;Wildhaus-Alt St. Johann;SG
Altbüron;6147;Altbüron;LU
Altdorf SH;8243;Thayngen;SH
Altdorf UR;6460;Altdorf (UR);UR
Alten;8453;Kleinandelfingen;ZH
Altendorf;8852;Altendorf;SZ
Altenrhein;9423;Thal;SG
Alterswil FR;1715;Alterswil;FR
Alterswilen;8573;Kemmental;TG
Altikon;8479;Altikon;ZH
Altishausen;8573;Kemmental;TG
Altishofen;6246;Altishofen;LU
Altnau;8595;Altnau;TG
Altstätten SG;9450;Altstätten;SG
Altwis;6286;Altwis;LU
Alvaneu Bad;7473;Albula/Alvra;GR
Alvaneu Dorf;7492;Albula/Alvra;GR
Alvaschein;7451;Albula/Alvra;GR
Am Bach (Avers);7447;Avers;GR
Ambrì;6775;Quinto;TI
Amden;8873;Amden;SG
Aminona;3963;Mollens (VS);VS
Amlikon-Bissegg;8514;Amlikon-Bissegg;TG
Ammerswil AG;5600;Ammerswil;AG
Ammerzwil BE;3257;Grossaffoltern;BE
Amriswil;8580;Amriswil;TG
Amsoldingen;3633;Amsoldingen;BE
Amsteg;6474;Silenen;UR
Andeer;7440;Andeer;GR
Andelfingen;8450;Andelfingen;ZH
Andermatt;6490;Andermatt;UR
Andhausen;8572;Berg (TG);TG
Andiast;7159;Andiast;GR
Andwil SG;9204;Andwil (SG);SG
Andwil TG;8586;Birwinken;TG
Anglikon;5611;Wohlen (AG);AG
Anières;1247;Anières;GE
Anwil;4469;Anwil;BL
Anzonico;6748;Faido;TI
Anzère;1972;Ayent;VS
Appenzell;9050;Appenzell;AI
Appenzell Eggerstanden;9050;Rüte;AI
Appenzell Enggenhütten;9050;Schlatt-Haslen;AI
Appenzell Meistersrüte;9050;Appenzell;AI
Appenzell Schlatt;9050;Schlatt-Haslen;AI
Appenzell Steinegg;9050;Rüte;AI
Apples;1143;Apples;VD
Aproz (Nendaz);1994;Nendaz;VS
Aquila;6719;Blenio;TI
Aquila;6719;Blenio;TI
Aquila;6719;Blenio;TI
Aran;1091;Bourg-en-Lavaux;VD
Aranno;6994;Aranno;TI
Arbaz;1974;Arbaz;VS
Arbedo;6517;Arbedo-Castione;TI
Arboldswil;4424;Arboldswil;BL
Arbon;9320;Arbon;TG
Arcegno;6618;Losone;TI
Arcegno;6618;Ronco sopra Ascona;TI
Arch;3296;Arch;BE
Arconciel;1732;Arconciel;FR
Ardez;7546;Scuol;GR
Ardon;1957;Ardon;VS
Areuse;2015;Boudry;NE
Arezen;7104;Safiental;GR
Argnou (Ayent);1966;Ayent;VS
