"","Habitants en milliers","Population par km2","0–19","20–64","65 ou plus","Population urbaine en %","Etrangers en %","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés en milliers","Taille moyenne des ménages en personnes","Allemand","Français","Italien","Romanche","Anglais","Catholiques romains","Evangéliques réformés","Sans confession","Surface en km²","Surfaces d'habitat et d'infrastructure en %","Surfaces agricoles en %","Surfaces boisées en %","Surfaces improductives en %","Taux d'activité net (15 - 64 ans)","Taux de chômage (selon le SECO)","Produit intérieur brut par habitant, en francs","Surface agricole utile par exploitation en ha","Taux de logements vacants","Surface moyenne par habitant en m²","Nouveaux logements construits pour 1000 habitants","Voitures de tourisme pour 1000 habitants","Transports publics","Transport privé motorisé","Taux d'aide sociale ","Médecins en pratique privée pour 100'000 habitants","Lits pour 1000 habitants","Taux d'hospitalisation en soins aigus (pour 1000 habitants)","Durée moyenne d'hospitalisation en soins aigus en jours","Sans formation postobligatoire (dès 25 ans)","Degré secondaire II (dès 25 ans)","Degré tertiaire (dès 25 ans)","Taux de diplômes des hautes écoles","PLR","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite","Infractions en % de la population totaleselon le Code pénal (CP)","Infractions en % de la population totaleselon la Loi sur les stupéfiants et les produits psychotropes (LStup)","Infractions en % de la population totaleselon la Loi sur les étrangers (LEtr)"
"AG",653.675,468.554,20.36792,62.758557,16.873523,82.844227,24.23192,5.082559,2.003153,10.326787,7.499892,279.813,2.306637,87.814176,2.137845,4.887677,0.198572,4.213155,33.409215,25.11821,26.225348,1403.95,16.989921,44.059261,36.397308,2.55351,82.685274,3.155557,61959.29325,17.850643,2.180257,49.42,7.650978,585.915816,22.992952,56.478995,2.2,165.066738,4.539476,118.180254,5.310046,19.173587,50.620578,30.206045,23.03,15.1447,8.5885,16.0765,37.9949,3.3365,5.1764,5.1263,NA,5.4699,1.1261,41.65033,5.684381,3.617051
"AI",15.974,92.613636,22.135971,59.559284,18.304745,0,10.85514,5.341209,0.942566,11.373633,8.608772,6.29,2.489825,95.014796,NA,1.446423,NA,2.319839,72.236133,11.351392,8.255558,172.39,4.716051,53.721214,31.950809,9.611926,84.962291,1.089268,61066.96617,15.125053,3.629811,47.47,3.343005,583.19667,12.359551,63.662921,0.8,125.203456,2.27072,37.466885,5.956243,21.08936,54.205184,24.714519,32.38,NA,76.3081,18.0685,NA,NA,NA,NA,NA,NA,NA,19.490349,3.343005,NA
"AR",54.543,224.604678,20.356416,60.862072,18.781512,75.47623,15.690373,5.285111,2.191387,10.275581,9.35483,23.129,2.314713,93.775479,1.107645,2.527068,0.502852,3.186779,28.608688,40.128436,18.460965,242.92,9.184094,54.791701,34.50107,1.523135,82.566346,1.822497,56663.34619,16.365572,1.990437,49.72,5.678455,571.063924,17.729004,56.527694,2,166.840841,8.881812,94.018201,4.716064,15.62188,54.572913,29.802647,26.3,33.5817,NA,28.5521,36.0937,NA,NA,NA,NA,NA,NA,36.253329,4.716632,1.128292
"BE",1017.483,174.211626,19.077567,60.775757,20.146676,73.14648,15.476033,4.935614,2.059301,9.938325,9.516005,458.019,2.178807,84.722648,10.336197,3.110396,0.137488,3.474652,15.825667,52.088418,18.519385,5959.4,6.912944,42.578783,31.332349,19.175924,84.181028,2.718141,76307.02387,17.598231,1.688756,45.03,4.20044,514.975956,28.077861,45.500456,4.2,217.497491,4.721313,151.759727,5.297533,18.201053,51.738286,30.060795,24,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,55.413119,13.481036,2.645089
"BL",283.231,547.126548,19.219648,59.555275,21.225078,95.899813,21.799167,4.548901,1.859948,9.034032,8.945463,124.693,2.237102,87.966282,3.260892,5.499801,0.135139,5.357569,27.790583,30.314376,28.577046,517.74,17.431529,40.506818,41.331556,0.730096,80.294459,3.005127,68537.2337,23.09953,0.472126,47.33,4.251673,515.47275,33.240696,43.825224,2.8,235.849889,4.031688,92.040199,5.609563,17.238037,51.263445,31.49804,30.6,15.7953,9.0945,22.1689,29.7852,2.1876,2.7408,2.8278,NA,14.1943,0.4474,45.474421,2.737281,1.062918
"BS",191.817,5191.258457,16.78944,62.965222,20.245338,98.706058,35.164766,4.994809,2.154829,10.627698,11.223937,96.19,1.938975,78.633883,5.248067,6.343655,0.204363,9.723724,17.415081,16.866979,46.236506,36.98,71.065441,12.033532,12.412115,4.488913,79.090064,3.866828,163632.43847,38.878182,0.418573,41.43,1.978172,344.952251,46.048891,17.002506,5.9,423.320144,11.512082,156.039458,6.015866,21.292833,37.360966,41.3462,24.21,21.3624,6.447,33.3103,17.6484,2.3182,4.8028,1.1003,NA,11.1801,0.459,109.985308,17.089936,8.883409
"FR",307.461,192.937286,22.836718,62.155851,15.007432,71.693646,21.882125,4.331754,1.954692,11.10278,6.708816,124.181,2.429526,27.820625,68.12041,2.52166,0.111053,3.529205,61.664528,12.008172,16.455762,1671.37,8.374567,56.253253,26.94915,8.42303,80.805307,2.826509,58369.34007,26.00661,1.235753,44.17,7.037448,581.856898,16.195029,63.741934,2.5,134.651224,2.798065,96.216918,6.47609,29.183142,42.160129,28.656729,30.15,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,NA,5.2855,0.7576,51.384911,10.142496,5.478332
"GE",484.736,1972.074858,21.131296,62.366525,16.502179,96.843024,40.685033,4.774867,2.378079,11.200254,7.078112,192.973,2.378524,5.058756,80.950113,6.730397,0.045316,11.335121,34.523523,9.386136,38.882019,282.32,33.355767,39.533154,12.393738,14.717342,76.052491,5.528032,102112.94446,29.49227,0.454987,36.66,3.32855,463.238267,39.398388,34.197762,5.5,370.923554,5.15464,143.226117,5.835136,25.235942,31.512321,43.251737,28.58,20.5118,12.0521,19.9357,17.6318,0.5886,2.2692,1.0251,6.0605,11.4676,8.1087,123.171025,19.376394,21.649193
"GL",40.028,58.798989,19.391426,61.551914,19.05666,74.340462,23.251224,4.635314,2.00446,10.247801,8.869735,17.43,2.248078,86.832783,1.490081,5.894436,0.513314,2.354014,35.509511,33.029681,17.733917,685.43,2.910582,30.042455,30.828823,36.21814,84.072362,2.357731,67378.92027,18.3832,1.691832,49.05,3.266824,578.303262,14.682449,59.312543,1.9,152.393325,3.668069,114.263457,6.364709,30.210854,46.342897,23.44625,25.14,NA,NA,45.0033,NA,NA,NA,51.4663,NA,NA,NA,30.632759,7.086495,2.538071
"GR",196.61,27.670504,18.382076,61.560958,20.056966,43.873659,18.27018,4.728711,1.834414,8.907097,8.835759,89.406,2.166096,74.719804,1.466192,13.342822,15.901809,2.806132,45.07855,32.690956,14.485642,7105,1.951161,28.761858,27.640957,41.646024,82.770982,1.71021,70967.57584,23.209662,1.531632,45.96,9.066498,557.783609,16.8988,47.111609,1.3,174.457047,5.748493,131.693944,5.698567,21.491441,52.347234,26.160643,27.22,13.2638,16.8097,17.6204,29.7324,NA,7.8715,14.4785,NA,NA,NA,36.174101,8.239486,1.291568
"JU",72.782,86.799203,21.690803,58.357836,19.951362,52.214833,14.318101,3.967161,2.135104,9.642405,9.60108,30.121,2.376249,7.719595,90.377443,3.05999,NA,1.926169,67.328062,8.790426,14.474448,838.61,6.695603,48.7366,43.516056,1.05174,77.604395,4.619211,64606.10026,39.36026,2.092917,45.32,5.358376,579.87847,14.781955,62.728665,2.8,141.518507,4.764535,117.718547,5.833333,31.305383,45.184838,23.509779,27.96,16.7815,27.6328,23.7114,12.8474,6.6153,NA,NA,3.7786,7.2752,NA,49.827372,6.68416,2.913962
"LU",398.762,279.022349,20.661698,62.36828,16.970022,62.714602,17.870058,5.341797,1.653713,10.567632,7.908078,169.665,2.307152,89.942885,1.544487,3.16923,0.228152,3.655295,62.365397,10.649384,16.361782,1493.28,9.633826,53.449454,29.932096,6.984624,83.934308,2.062312,65119.48638,16.305344,1.049829,45.6,7.060243,529.802029,22.670951,51.996327,2.2,166.264589,3.813339,110.999888,6.069228,20.184429,49.589591,30.22598,24.43,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,NA,7.0727,0.0873,52.009103,7.440371,2.154058
"NE",178.107,248.485567,21.40118,60.113303,18.485517,88.807851,25.575076,4.017624,2.453339,10.032805,9.312559,80.449,2.173998,5.229056,87.75105,5.761412,NA,3.726493,23.369957,21.099795,42.330809,802.26,8.352654,41.694712,38.478797,11.473836,79.019421,5.807431,83834.80883,38.086012,1.151972,43.91,3.231318,542.810739,23.245881,56.012451,7.2,206.61737,4.024173,112.035956,5.907841,28.824282,41.895232,29.280486,28.92,24.4252,3.5698,23.6589,20.3845,NA,3.3845,0.9583,12.2215,9.3088,NA,87.95051,10.353753,2.266998
"NW",42.42,175.768625,18.630363,62.38331,18.986327,50.129656,13.922678,4.757396,1.727811,10.08284,7.195266,18.375,2.276082,92.122405,2.113967,2.548852,NA,4.293594,66.45231,11.359038,15.60551,275.94,5.370733,37.026165,33.311589,24.291513,85.602076,1.149194,69559.05378,13.337667,1.393991,48.42,6.487643,619.035171,13.599511,62.305969,0.9,122.583687,1.829848,84.196768,4.874809,19.614834,49.037084,31.348082,27.27,NA,NA,NA,82.8175,NA,NA,NA,NA,NA,NA,25.499049,3.897338,1.235741
"OW",37.076,77.135605,20.64678,61.859424,17.493797,27.198188,14.456791,4.627249,1.677716,9.714518,7.306183,15.471,2.359705,91.751544,1.281594,1.812149,NA,3.517962,72.784299,7.495069,12.565073,490.64,3.829692,36.857981,40.695826,18.616501,83.234227,1.00673,64252.80979,12.020308,0.614675,46.74,9.312049,591.057175,11.197377,60.201572,1,118.675154,2.126832,76.831189,4.755806,22.276147,50.526712,27.197141,30.36,NA,NA,NA,34.529,NA,NA,NA,NA,NA,NA,38.225552,4.018027,1.194549
"SG",499.065,255.79959,20.777454,61.761093,17.461453,81.321872,23.514572,5.180477,1.881617,10.781102,7.930533,213.233,2.29616,88.783367,1.214076,3.484226,0.282472,3.09441,45.565596,21.321468,17.170984,2030.73,9.557154,46.497565,30.498885,13.446396,82.140802,2.51709,72624.13073,17.401486,1.772927,46.87,5.834732,548.716883,19.636051,53.826313,2.2,190.55634,4.525396,125.350931,6.559081,21.709123,51.942673,26.348204,22.48,14.2935,16.5525,14.1798,35.7979,1.7509,4.8875,3.6347,NA,5.746,1.2088,37.460873,8.745039,4.342267
"SH",79.836,267.780237,18.828599,60.625532,20.545869,88.611654,25.266797,4.59646,1.858678,8.791043,9.331064,36.053,2.173356,86.944271,1.905567,4.342023,0.278368,4.411721,22.60729,36.242845,23.06255,298.43,11.403009,43.889689,43.356901,1.3504,80.280511,3.30064,85528.57721,27.227749,1.681084,50.39,5.338907,557.76471,28.685794,47.87927,2.6,189.137732,3.63212,117.468552,6.620454,18.316478,55.02605,26.657473,25.75,12.9019,NA,28.8134,45.2923,NA,NA,NA,NA,3.4235,5.1271,45.758465,9.531964,9.796391
"SO",266.418,337.054515,19.242694,61.834786,18.92252,84.60089,21.418598,4.719535,1.946667,9.567338,9.431524,117.233,2.236921,89.64655,2.963776,4.301539,0.144487,3.13788,35.655912,21.290506,28.676627,790.37,13.856801,42.310563,42.742007,1.090628,82.37929,2.955626,65587.93219,22.779995,2.624193,49.08,6.355249,577.830949,20.458527,58.106896,3.5,168.156806,2.666745,97.1299,5.971668,20.528242,53.491669,25.980089,23.04,21.2244,14.7994,20.0285,28.8292,1.2026,3.4502,3.4206,NA,5.5553,0.5052,60.738893,7.894767,2.589878
"SZ",154.093,180.983533,20.008047,63.165102,16.826851,80.339146,20.229342,5.527094,1.916233,10.474105,7.586719,65.059,2.328087,89.61348,1.722174,2.805701,0.467038,5.339358,61.647923,11.926556,17.060524,908.03,6.060372,40.543815,33.736771,19.659042,83.126308,1.753399,58788.11775,14.893684,0.92878,48.28,7.253255,630.915363,15.915659,57.87691,1.4,144.068842,1.760047,90.344922,4.662853,21.971196,47.964984,30.063821,21.87,20.6033,19.4539,13.0872,42.6342,NA,2.815,NA,NA,1.4064,NA,26.98368,3.227306,2.225728
"TG",267.429,309.829114,20.600234,62.687667,16.712099,65.480184,24.218017,5.327941,1.818654,10.486443,7.308505,113.928,2.312443,89.531921,1.305319,4.138959,0.243487,2.948723,32.661642,33.9186,19.166924,991.51,12.274208,51.938962,21.389598,14.397233,82.767867,2.527599,60533.09846,18.596312,1.796769,50.69,7.647886,620.620097,16.240363,58.467212,1.8,161.164272,5.594273,105.652307,6.244726,19.724149,53.227304,27.048548,22.44,13.0075,13.1289,12.6932,39.8656,2.3463,6.1675,3.761,NA,5.4374,3.4295,41.37897,5.22119,3.044746
"TI",351.946,128.418387,18.446864,59.751212,21.801924,90.496553,27.748007,4.328579,1.913688,8.420795,9.380486,160.198,2.159977,10.869012,4.85908,88.518918,0.125707,3.182162,67.753713,4.148624,17.755386,2812.25,5.64708,12.943728,50.693573,30.715619,73.134481,3.507328,82438.45822,12.624922,1.207088,46.91,6.815788,634.322117,15.994749,62.312361,2.6,214.521546,5.437218,165.185822,7.039249,25.049984,44.795618,30.154398,26.95,23.7298,20.0804,15.9328,11.3039,NA,0.8482,NA,0.5203,3.5281,21.6847,47.96454,8.260005,3.24806
"UR",35.973,34.021204,20.529286,59.978317,19.492397,87.86034,11.489172,4.445618,1.333685,8.946805,10.197135,14.881,2.366239,93.570831,1.113064,2.116632,NA,1.88704,78.882756,5.191504,9.757485,1076.3,1.855431,24.176345,20.098486,53.869739,84.088184,1.046227,51331.87514,11.553425,1.393213,44.82,7.60942,537.269496,10.984925,58.020101,1.1,86.175743,2.054338,96.64519,5.801171,29.444704,51.322134,19.237051,23.38,NA,26.8469,NA,44.0845,NA,NA,NA,NA,26.2828,NA,17.773828,4.971118,3.665852
"VD",773.407,274.14892,22.06251,61.651498,16.285992,86.91129,33.57456,4.460362,2.342895,10.926128,7.295813,333.955,2.263101,6.31116,83.321752,5.267867,0.05737,8.174047,30.437307,24.229905,30.25343,3212.21,9.320997,42.407875,32.137065,16.134063,78.507645,4.721702,68084.26271,29.904878,0.808697,42.36,6.164587,530.239833,27.852611,51.708318,4.8,242.821697,4.76685,132.321924,6.185969,25.215941,37.473962,37.310097,26.76,26.8365,4.0533,22.2042,22.5585,1.0609,3.8918,1.8085,2.8771,11.2503,0.8272,76.621323,14.976768,5.855964
"VS",335.696,64.38383,20.061901,61.190184,18.747915,73.013679,22.962442,4.482672,2.079528,9.729437,8.168292,143.235,2.293622,25.516243,67.732747,4.171759,0.071938,3.317966,72.823702,5.928308,12.77474,5224.77,3.533744,18.987247,23.976366,53.502642,78.986686,3.948442,52532.31818,11.821785,1.811539,44.35,8.557314,631.291012,13.008013,63.247078,1.8,156.391497,3.910606,107.498425,6.118366,30.220745,44.048224,25.731444,25.12,18.1378,39.7915,13.2567,22.1426,1.4139,NA,NA,NA,4.8868,NA,41.300567,12.738009,2.495758
"ZG",122.134,589.506709,20.231876,63.399217,16.368906,96.711808,27.000671,5.457781,1.833022,10.692626,6.068788,52.273,2.297687,82.589273,3.460695,3.839531,0.463305,10.083934,50.542671,14.673266,21.750125,238.71,13.849441,43.425076,27.351179,15.374304,82.068542,2.363665,150612.94819,18.553229,0.344609,46.98,11.449841,640.833049,27.982718,46.351311,1.7,200.599342,4.263505,97.827445,5.03184,14.675534,43.134968,42.189498,26.84,17.6401,26.4429,13.7528,30.4596,NA,3.5805,NA,NA,7.1575,NA,44.766798,5.004622,4.163579
"ZH",1466.424,882.925214,19.616427,63.499915,16.883657,96.549497,26.121504,5.891283,2.147091,11.580697,7.660041,655.098,2.194649,83.070027,3.016272,5.870199,0.388564,7.913789,27.118327,29.62362,26.952128,1728.85,21.860196,41.654279,30.350811,6.134714,83.775426,3.663423,96410.65099,20.462503,0.85214,44.39,5.787656,500.359525,40.374417,37.354884,3.2,256.542446,4.357792,136.824042,5.843583,16.281342,43.809644,39.909013,22.73,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,63.93179,11.322263,6.498409
