"","Habitants en milliers","Population par km2","0–19","20–64","65 ou plus","Population urbaine en %","Etrangers en %","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés en milliers","Taille moyenne des ménages en personnes","Allemand","Français","Italien","Romanche","Anglais","Catholiques romains","Evangéliques réformés","Sans appartenance religieuse","Surface en km²","Surfaces d'habitat et d'infrastructure en %","Surfaces agricoles en %","Surfaces boisées en %","Surfaces improductives en %","Taux d'activité net (15 - 64 ans)","Taux de chômage (selon le SECO)","Produit intérieur brut par habitant, en francs","Variation du PIB cantonal en %","Surface agricole utile par exploitation en ha","Taux de logements vacants","Surface moyenne par habitant en m²","Nouveaux logements construits pour 1000 habitants","Voitures de tourisme pour 1000 habitants","Transports publics","Transport privé motorisé","Taux d'aide sociale","Médecins dans le secteur ambulatoire pour 100 000 habitants","Lits pour 1000 habitants","Taux d'hospitalisation en soins aigus (pour 1000 habitants)","Durée moyenne d'hospitalisation en soins aigus en jours","Sans formation postobligatoire (dès 25 ans)","Degré secondaire II (dès 25 ans)","Degré tertiaire (dès 25 ans)","Taux de diplômes des hautes écoles","PLR","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite","Infractions en % de la population totale selon le Code pénal (CP)","Infractions en % de la population totale selon la Loi sur les stupéfiants et les produits psychotropes (LStup)","Infractions en % de la population totale selon la Loi sur les étrangers (LEtr)"
"AG",670.988,480.970847341,20.260421945,62.3884480795,17.3511299755,85.0471245387,24.9302521058,5.119712241,1.7924987823,10.3623215557,7.0605867586,288.465,2.294902,87.0093813591,1.8469718273,5.3647581768,0.188663401979894,4.528100306,32.1805094269,23.3444161171,27.7010042396,1403.95,16.9899212935,44.0592613697,36.3973075964,2.5535097404,83.07,2.7,61866.7792,0.40696,18.4246160934,2.6493372732,50,7.6658890121,588.562721,24.64,62.9,2.261,167.0670712,4.5728886731,149.8715327249,5.018611994,18.09655584,49.92233676,31.9811074,22.67,15.1447,8.5885,16.0765,37.9949,3.3365,5.1764,5.1263,NA,5.4699,1.1261,35.572496993,4.3288085829,1.9699696441
"AI",16.105,93.3731447124,21.6019869606,59.6895374107,18.7084756287,0,11.387767774,4.4225738134,1.1835056684,11.5858975956,7.5370624144,6.4,2.470781,93.6367055284,NA,NA,NA,3.51464114328695,72.6664159458,7.55923279428356,10.8311395261376,172.39,4.716050815,53.7212135275,31.9508092117,9.6119264458,82.41,1,62127.78229,2.4015,15.3980645161,1.8886930244,49,3.0674846626,600.0124977,8.61,68.82,1.025,136.6035393,2.2026682769,150.8848183794,3.80591133,27.509095749401,52.28502973,20.2058745230278,23.65,NA,76.3081,18.0685,NA,NA,NA,NA,NA,NA,NA,22.9956883084,2.8119727551,NA
"AR",55.178,227.2195684401,20.2073290079,60.6002392258,19.1924317663,76.5921200478,16.3054115771,4.7942469037,1.6525623797,10.2422547488,9.1889732321,23.627,2.296737,91.2905539016,1.2313224537691,2.0548225950151,NA,3.6962993546144,27.6407570786,37.9799647971,21.6193311458,242.92,9.1840935287,54.7917009715,34.5010703112,1.5231351885,82.98,1.5,56236.83172,2.04541,16.8477856135,2.178059862,50,6.4536237464,578.8841577,20.42,62.58,2.276,175.7947008,8.7476297129,163.217224256,4.143551616,16.77492163,52.83009404,30.39498433,27.09,33.5817,NA,28.5521,36.0937,NA,NA,NA,NA,NA,NA,28.532954835,2.474797103,0.7278815009
"BE",1031.126,176.5442,19.05335,60.38719,20.55947,74.60339,16.17465,4.814256,1.895376,9.856928,9.199865,467.025,2.164434,84.29601,10.64437,3.133524,0.1883241,3.790458,15.59871,50.24282,20.49699,5959.4,6.912944,42.57878,31.33235,19.17592,84.16,1.9,76209.76,1.01685,18.20463,1.831306,45,4.209407,518.1259,32.53,49.68,4.16,222.3783,4.83654,159.1862,4.943857,17.48131,50.70626,31.81243,24.59,9.3306,1.8348,19.6774,33.1227,4.3075,5.9978,11.756,0.5208,8.5068,3.2853,49.20347,12.22391,2.570839
"BL",287.023,554.4516777097,19.200203468,59.119652432,21.6801441,97.5831205165,22.5347794428,4.4495125269,1.7183360779,9.4089377924,8.5986654955,126.966,2.227675,87.4421700645,3.3244719336,5.0667085619,0.191720998209804,5.8621673358,25.6134417649,29.9756483775,30.2489322909,517.74,17.4315293391,40.506818094,41.3315563797,0.7300961873,79.38,2.3,68811.32737,0.17046,23.7167578714,0.7587253414,48,5.5996695277,516.7983083,37.05,47.18,3.014,237.61162,3.4545367685,182.4975698812,5.167153806,17.28334132,50.05029283,32.66636585,31.7,15.7953,9.0945,22.1689,29.7852,2.1876,2.7408,2.8278,NA,14.1943,0.4474,38.7852561409,2.8989160575,0.8822788001
"BS",193.908,5247.848443843,17.0787177424,62.9432514388,19.9780308187,100,35.9763392949,5.3439730424,1.7985518557,10.6931143372,10.97219997,96.276,1.960177,78.1393009189,5.0308562455,6.3037530519,0.234738869054192,10.5647367711,16.5476584833,15.8195001656,49.6270258996,36.98,71.0654407788,12.0335316387,12.4121146566,4.4889129259,79.41,3.4,173184.6535,2.88586,32.9737923077,0.7140900374,41,2.147880532,342.5855907,51,17.35,6.256,426.4909132,11.0333921963,162.2883016688,5.540454021,18.63339186,37.46900128,43.89760686,26.35,21.3624,6.447,33.3103,17.6484,2.3182,4.8028,1.1003,NA,11.1801,0.459,113.4821567307,20.5521313513,12.7414927228
"FR",315.074,197.7518075919,22.4677377378,62.0184464602,15.513815802,74.9395380133,22.5124891295,4.0670634845,1.8979629594,10.9348185292,6.5742885031,128.443,2.406935,27.782755021,68.7668468862,2.3312974245,0.116780682756579,3.703198766,60.2152506193,11.5742976893,18.1136161792,1671.37,8.374566972,56.2532533191,26.9491495001,8.4230302088,82.15,2.7,59390.71573,2.39916,26.590011338,1.5060770344,45,7.0870777107,589.079041,18.96,70.87,2.304,143.1409764,2.7616039057,126.7765667748,5.465138765,26.48708598,41.92411788,31.58879614,30.4,14.1814,22.673,24.1981,25.9348,2.4898,3.1944,1.2854,NA,5.2855,0.7576,41.4344979706,9.7719243125,5.9567701354
"GE",495.249,2014.681,21.1215,62.46535,16.41316,100,40.09579,4.490375,2.331502,11.05026,6.787351,200.082,2.361397,4.580448,80.78727,6.52706,0.06952639,11.86377,32.35026,8.860432,41.33988,282.32,33.35577,39.53315,12.39374,14.71734,75.31,4.5,98350.18,1.11005,29.44688,0.5271172,37,4.103264,452.9175,46.01,35.54,5.945,390.5106,4.871965,128.5252,6.148074,25.48831,29.70557,44.80611,30.24,20.5118,12.0521,19.9357,17.6318,0.5886,2.2692,1.0251,6.0605,11.4676,8.1087,102.7978,15.70301,17.92966
"GL",40.349,59.275745556,19.2346774393,61.0448833924,19.7204391683,76.254677935,24.0724677192,4.2735042735,1.4162194395,9.3917710197,9.3917710197,17.817,2.222484,86.5926734953,0.906496000236149,7.16120081471205,NA,4.2300085603802,32.3198630339,32.0364849308,19.3287481182,685.43,2.9105816787,30.0424551012,30.8288227828,36.2181404374,85.91,1.7,67851.95378,0.96504,18.6211891892,1.5999292849,50,6.8951733786,585.4733853,14.96,65.74,1.793,138.7890654,3.7459467521,156.0385635332,5.49864102,26.37586629,48.29460525,25.32952847,22.89,NA,NA,45.0033,NA,NA,NA,51.4663,NA,NA,NA,26.8015044711,5.7787630458,2.092310758
"GR",197.888,27.8504065224,18.1415750323,60.9627668176,20.8956581501,44.7546086675,18.6484273933,4.5316838544,1.5476509592,8.6587530789,8.8307142966,90.936,2.141814,74.0946135499,1.51218328490007,13.1036156273,15.4207183906,3.1166955688,42.662507916,31.3131432697,18.3196122182,7105,1.9511611541,28.7618578466,27.6409570725,41.6460239268,83.61,1.3,71914.22204,1.89901,24.0585319672,1.5940705231,47,6.8307817507,568.0739053,17.42,53.62,1.365,179.3944049,5.4390389918,150.8277409444,4.979353654,19.53913014,53.61520062,26.84566924,28.49,13.2638,16.8097,17.6204,29.7324,NA,7.8715,14.4785,NA,NA,NA,31.8248544672,7.5677043786,0.8352315869
