"","Habitants en milliers","Population par km2","0–19","20–64","65 ou plus","Population urbaine en %","Etrangers en %","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés en milliers","Taille moyenne des ménages en personnes","Allemand","Français","Italien","Romanche","Anglais","Catholiques romains","Evangéliques réformés","Sans appartenance religieuse","Surface en km²","Surfaces d'habitat et d'infrastructure en %","Surfaces agricoles en %","Surfaces boisées en %","Surfaces improductives en %","Taux d'activité net (15 - 64 ans)","Taux de chômage (selon le SECO)","Produit intérieur brut par habitant, en francs","Variation du PIB cantonal en %","Secteur primaire","Secteur secondaire","Secteur tertiaire","Secteur primaire","Secteur secondaire","Secteur tertiaire","Part des surfaces bio dans la surface agricole utile totale en %","Surface agricole utile par exploitation en ha","Taux de logements vacants","Taux de logements occupés par leur propriétaire","Surface moyenne par habitant en m²","Nouveaux logements construits pour 1000 habitants","Voitures de tourisme pour 1000 habitants","Transports publics","Transport privé motorisé","Taux d'aide sociale","Médecins dans le secteur ambulatoire pour 100 000 habitants","Lits pour 1000 habitants","Taux d'hospitalisation en soins aigus (pour 1000 habitants)","Durée moyenne d'hospitalisation en soins aigus en jours","Sans formation postobligatoire (dès 25 ans)","Degré secondaire II (dès 25 ans)","Degré tertiaire (dès 25 ans)","Taux de diplômes des hautes écoles","PLR","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite","Infractions en % de la population totale selon le Code pénal (CP)","Infractions en % de la population totale selon la Loi sur les stupéfiants et les produits psychotropes (LStup)","Infractions en % de la population totale selon la Loi sur les étrangers (LEtr)"
"AG",678.207,486.1350440829,20.2364469845,62.1128947357,17.6506582798,85.0340677699,25.1286111762,4.9674064905,1.8796393405,10.2950277758,7.0857066621,292.608,2.288246,86.8800408809414,2.02278469251743,5.21410678359188,0.189931996126316,4.79761432548233,32.1605077241,23.5415616948,27.9975485729,1403.95,16.9899212935,44.0592613697,36.3973075964,2.5535097404,81.2603811574836,2.4715,62337,0.7677,10.581,94.013,236.916,3454,7273,34898,10.314144852,18.7142233313,2.5857891179,49.1,49.7911130913,8.5611534647,588.7407822,24.64,62.9,2.1936,170.7443303,4.5427436579,146.9433373587,5.003741763,17.7054937662314,50.5708848374863,31.7236213962823,24.56,13.554601603,9.894579191,16.466316447,31.528317065,3.643545177,8.505534944,3.068081119,NA,9.781515892,0.996939655,37.3747369551,5.146142703,2.0313329001
"AI",16.145,93.6050556586,21.2078042738,59.64694952,19.1452462063,0,11.2976153608,3.5968992248,1.5503875969,10.480620155,8.496124031,6.463,2.45892,93.8380414312618,0.63110395480226,1.56376979284369,NA,3.63474832391714,72.5122410546,9.747645951,9.7702448211,172.39,4.716050815,53.7212135275,31.9508092117,9.6119264458,83.2910028824365,1.0729,61633,0.0763,1.042,2.806,5.064,479,301,1118,6.0976121768,15.4998264642,2.0223325062,55.1,49.2784714815,3.9367618572,604.5327538,8.61,68.82,0.9997,123.8773614,2.0234433664,150.4490554351,3.837634409,20.6373174289526,53.3403698536626,26.0223127173847,27.63,NA,61.271471578,8.730299274,29.077386223,NA,NA,NA,NA,NA,NA,21.0493635517,0.9313877678,NA
"AR",55.234,227.4501729534,20.1470108991,60.1441141326,19.7088749683,76.6086106384,16.3196581816,4.5284932797,1.97442307,10.7234720864,8.3143136616,23.767,2.286448,91.741362805674,1.13829120616134,2.43233835175355,0.246786376294491,3.71377599860761,28.4918631973,37.9536158733,21.3493168567,242.92,9.1840935287,54.7917009715,34.5010703112,1.5231351885,82.6428377667603,1.5748,56038,0.2018,1.718,7.687,17.493,734,849,3581,23.7176426557,16.9594811159,2.2985741282,51.8,50.682253078,3.9123630673,580.1043894,20.42,62.58,2.3198,175.6164681,8.9757599178,163.8483542745,4.174455487,19.1378460483515,49.9766631903363,30.8854907613122,28.89,48.436899423,NA,NA,49.455477258,NA,NA,NA,NA,NA,NA,28.7433397369,3.4434013556,0.616187611
"BE",1034.977,177.2054,19.04207,60.13776,20.82017,74.6805,16.33573,4.767429,1.851795,9.82042,9.148624,469.733,2.160817,83.98982,10.94971,3.238422,0.139748,4.039713,15.45444,50.25169,20.83242,5959.4,6.912944,42.57878,31.33235,19.17592,82.37109,1.7846,76085,0.2188,33.007,130.188,474.262,10936,11649,57734,12.50497,18.45687,1.870074,40.3,45.62993,4.171404,519.245,32.53,49.68,4.0158,224.9325,4.834504,158.3185,4.85451,16.74785,51.02788,32.22427,24.27,8.360142,1.872671,16.82289,30.03083,4.176611,9.735171,8.041439,0.6171532,13.58504,2.817933,48.58184,11.74832,2.574855
"BL",288.132,556.5939691309,19.2023100523,58.8608693238,21.9368206239,97.6198409063,22.8145433343,4.3257904391,2.0550981909,9.1210195513,8.505533291,127.664,2.223767,87.0942787407438,3.49811773466264,5.20249865552476,0.1705153228809,6.14114921606751,25.4945600463,30.2482108137,30.4488478881,517.74,17.4315293391,40.506818094,41.3315563797,0.7300961873,79.5964648770764,1.8526,71065,2.7789,3.202,39.181,106.796,970,3149,15506,16.2523999877,23.6080388767,1.0572187777,46.1,47.7253958006,5.1781362911,517.0665765,37.05,47.18,2.9823,245.026585,3.3986515694,171.5429039468,5.067459,15.5859396404663,50.9416657433436,33.4723946161901,31.62,16.519484699,8.488285778,21.795546877,25.14782189,3.49671446,5.257595869,1.182940787,NA,17.995692413,NA,34.1645094644,2.4736693575,0.5783508639
"BS",194.766,5271.0690121786,17.2437694464,62.8785311605,19.8776993931,100,36.4021441114,5.2949258247,1.8575978841,10.6773285581,10.6876199591,96.431,1.963611,77.2769405481722,5.35465455326724,6.18151683496516,0.159855142567754,10.9830883029987,16.7938368988,16.182437617,49.3625118934,36.98,71.0654407788,12.0335316387,12.4121146566,4.4889129259,77.3470378627117,2.9783,185826,6.4501,0.058,36.445,154.463,18,1495,15580,40.445801426,32.6516538462,1.0158064545,14.9,40.9872781035,1.9267623142,341.1875735,51,17.35,6.2262,440.0151977,11.1320377581,172.714950248,5.55497087,18.6531025967406,36.6290743763574,44.7178230269019,26.05,21.376396421,4.570072075,32.650037138,12.350466749,2.017789091,5.698406596,0.367651176,NA,17.695032417,0.282176943,106.3236173856,18.7563174289,16.1262041793
"FR",318.714,200.3646262267,22.3416605483,61.9307592387,15.727580213,74.852375484,22.7034268968,4.3831691354,1.8744438203,11.1898615941,6.4942851553,130.758,2.39167,27.4170487792526,68.7670197555778,2.38695376080596,0.0564540315637333,3.64763310958483,59.7891595601,11.7851702657,18.3176397714,1671.37,8.374566972,56.2532533191,26.9491495001,8.4230302088,79.7649061539807,2.4628,59444,1.0967,8.769,37.791,106.749,2938,3446,15414,7.3274824066,27.1660363143,1.8315623822,44.4,44.8453891656,7.0051360311,591.5150092,18.96,70.87,2.2582,145.2713091,2.7166968351,129.9378125843,5.202632479,25.4011467841806,43.0017128616637,31.5971403541557,29.83,15.420336853,17.801419498,21.225821533,20.181175819,3.99422386,5.380066349,0.652053895,NA,12.463795507,0.734451756,40.8443730679,12.3463059472,6.0208078102
"GE",499.48,2032.059,21.12417,62.46737,16.40846,100,40.02963,4.761096,2.428802,10.76273,6.805874,200.19,2.377481,4.528773,80.60775,6.657369,0.06349759,12.01058,32.47761,8.97366,41.45232,282.32,33.35577,39.53315,12.39374,14.71734,74.7447,3.948,100464,2.128945,1.826,46.564,303.308,418,4542,35877,11.35785,29.31003,0.5368304,18.8,36.39471,4.038617,445.2124,46.01,35.54,5.9441,399.2152,4.758549,126.3995,6.166024,23.59373,31.36329,45.04298,31.87,17.92796,7.663163,14.73024,13.65093,0.7023892,5.444837,0.3723191,7.422617,24.61156,5.486574,100.2829,13.51643,16.66434
"GL",40.403,59.3550756574,19.1223424003,60.8024156622,20.0752419375,76.5017449199,24.0873202485,4.507628294,1.6346344363,10.0802456905,8.9904893996,17.921,2.213493,86.9434185256316,0.934431260156596,6.16043728763481,0.173831171517211,3.71989954202984,32.2085980204,31.4256167824,21.1552666568,685.43,2.9105816787,30.0424551012,30.8288227828,36.2181404374,79.969401619778,1.3715,68671,2.3942,1.091,8.014,12.938,388,616,2302,31.0199718787,19.0953424658,1.7091401845,50.4,49.8339742309,6.775101502,586.30945,14.96,65.74,1.8811,138.603569,3.6441075341,158.2803257184,5.540251184,24.3172384856727,52.4265576632924,23.256203851035,19.91,NA,NA,28.192747339,NA,NA,NA,63.027197477,NA,2.749310209,NA,24.8333292027,4.4362933406,2.6022949763
"GR",198.379,27.9195089925,17.9893033033,60.684850715,21.3258459817,44.8343826716,18.6420941733,4.3102251765,1.7210618093,9.0545011318,9.0292656214,91.447,2.134034,74.4985317103207,1.45881684270355,13.3442665656231,15.3075119594563,3.30779614455549,41.9747312083,31.9560223559,18.1606119452,7105,1.9511611541,28.7618578466,27.6409570725,41.6460239268,80.9367108278129,1.1453,70909,-0.7022,7.067,26.711,94.753,2474,3040,15217,65.1691665431,24.5968819579,1.6827102669,46.2,46.9612394602,6.5603644647,572.5460867,17.42,53.62,1.3513,188.5280196,5.6941925254,152.5211841979,5.121227535,19.1843950887427,53.3023480310421,27.5132568802151,27.2,13.630094131,16.348576979,17.118767695,29.938917101,NA,8.347304851,9.099865528,NA,5.516473716,NA,34.4032988357,6.8372008409,1.0106727038
