"X__1","X__2","X__3","X__4","X__5","X__6","X__7","X__8","X__9","X__10","X__11","X__12","X__13","X__14","X__15","X__16","X__17","X__18","X__19","X__20","X__21","X__22","X__23","X__24","X__25","X__26","X__27","X__28","X__29","X__30","X__31","X__32","X__33","X__34","X__35","X__36","X__37","X__38","X__39","X__40","X__41","X__42","X__43"
"","","Population","Population","Population","Population","Répartition par âge en %","Répartition par âge en %","Répartition par âge en %","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Mouvement de la population (en ‰)","Ménage","Ménage","Surface","Surface","Surface","Surface","Surface","Surface","Surface","Economie","Economie","Economie","Economie","Economie","Economie","Economie","Economie","Constructions et logements","Constructions et logements","Protection sociale","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)","Partis politiques en % (élections au Conseil national)"
"","","2015","2010-2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2004/09","2004/09","1979/85-2004/09","2004/09","1979/85-2004/09","2004/09","2004/09","2014","2014","2014","2014","2014","2014","2014","2014","2016","2014","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015","2015"
"Code commune","Commune","Habitants","Variation en %","Densité de la population par km²","Etrangers en %","0-19 ans","20-64 ans","65 ans ou plus","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés","Taille moyenne des ménages en personnes","Surface totale en km²","Surfaces d'habitat et d'infrastructure en %","Variation en ha","Surface agricole en %","Variation en ha","Surface boisée en %","Surface improductive en %","Emplois total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Etablissements total","Secteur primaire","Secteur secondaire","Secteur tertiaire","Taux de logements vacants","Nouveaux logements construits pour 1000 habitants","Taux d'aide sociale","PLR 2)","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite"
"1","Aeugst am Albis","1981","8.60745614","250.4424779","12.77132761","21.8071681","62.03937405","16.15345785","6.091370558","2.030456853","9.644670051","10.15228426","809","2.435105068","7.87","12.5794155","21","51.33418043","-22","30.87674714","5.209656925","418","34","14","370","135","14","12","109","2.14205186","1.020929045","0.816743236","18.6917","2.07643","18.6459","30.9292","3.46706","8.43525","2.61744","0.167638","7.07509","4.88818"
"2","Affoltern am Albis","11708","5.563069155","1105.571294","27.04988042","19.6959344","62.99111718","17.31294841","5.760963027","2.063628547","9.88822012","7.39466896","4989","2.303868511","10.6","30.75471698","94","40.09433962","-93","28.20754717","0.943396226","6537","56","1254","5227","956","24","130","802","0.777998914","5.10734072","2.960526316","14.2266","4.58539","19.0803","33.7858","5.46483","7.35786","4.1643","0.190049","6.21105","1.7682"
"3","Bonstetten","5326","3.237061446","716.8236878","14.02553511","24.03304544","61.17161097","14.7953436","3.957410723","1.884481297","10.36464713","3.580514463","2234","2.379140555","7.45","15.5704698","24","55.43624161","-21","28.59060403","0.402684564","932","33","129","770","275","13","27","235","2.224087285","6.80915453","0.662001135","16.4726","3.37854","20.4033","29.1002","3.143","11.8624","3.80311","0.112518","6.66107","1.91581"
"4","Hausen am Albis","3477","3.482142857","255.6617647","13.60368133","22.17428818","60.71325856","17.11245326","3.456221198","2.304147465","8.640552995","7.488479263","1439","2.397498263","13.68","12.64619883","33","55.7748538","-31","29.02046784","2.558479532","983","106","151","726","257","42","36","179","0.939261115","1.442169022","0.922988174","12.7937","2.88192","19.3933","34.9374","2.56987","8.74827","4.65609","0.193911","8.02166","1.82544"
"5","Hedingen","3660","7.331378299","560.4900459","14.86338798","22.84153005","62.34972678","14.80874317","4.103405827","3.55628505","7.933251265","4.924086992","1492","2.441018767","6.53","19.90811639","44","46.24808576","-43","33.23124043","0.612557427","1463","32","736","695","196","12","25","159","0.939261115","6.847439058","1.259928787","15.8058","3.91817","22.478","30.1146","3.5893","9.62594","3.76886","0.227988","6.46639","1.84005"
"6","Kappel am Albis","1033","12.52723312","130.4292929","14.32720232","25.16940949","60.69699903","14.13359148","4.885197851","2.93111871","13.67855398","4.885197851","417","2.472422062","7.83","8.301404853","12","69.98722861","-12","20.56194125","1.149425287","353","63","80","210","97","22","19","56","3.887688985","19.72386588","0.788954635","10.9525","2.74447","10.2854","48.6151","6.60361","5.62405","5.13427","0.312447","4.38271","2.7698"
"7","Knonau","2097","16.5","324.1112828","16.30901288","23.36671435","61.37339056","15.25989509","4.35413643","2.418964683","6.289308176","6.289308176","829","2.519903498","6.51","17.97235023","19","62.21198157","-21","17.20430108","2.611367128","475","61","93","321","121","26","14","81","1.659292035","8.8365243","0.638193422","11.4566","3.12605","18.4366","32.8761","6.16796","10.4216","5.94497","0.00841467","5.80192","3.43739"
"8","Maschwanden","641","4.058441558","136.673774","12.32449298","23.40093604","60.8424337","15.75663027","7.656967841","4.594180704","9.188361409","6.125574273","264","2.416666667","4.68","8.974358974","-5","59.61538462","0","23.71794872","7.692307692","150","54","33","63","61","20","6","35","2.341137124","0","0.30075188","4.89014","3.5024","22.7325","43.3834","3.73369","4.8571","3.45283","0.644309","5.17099","2.11465"
"9","Mettmenstetten","4669","10.04006599","358.3269378","14.20004284","21.82480188","61.7905333","16.38466481","5.906803763","2.187705097","10.06344345","4.594180704","1894","2.434002112","13.05","15.93869732","65","64.21455939","-70","18.62068966","1.22605364","1558","156","592","810","305","46","54","205","1.648884578","6.259780908","1.274312542","13.1847","3.64916","18.8003","35.671","3.46806","9.6205","4.3527","0.133017","5.05946","3.56902"
